        83,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |42        |228       |0         |0         |0         |0         |12.5      |0         |0         
        84,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |36        |228       |0         |0         |0         |0         |15.0      |0         |0         
        85,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |30        |228       |0         |0         |0         |0         |17.5      |0         |0         
        86,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |24        |228       |0         |0         |0         |0         |20.0      |0         |0         
        87,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |18        |228       |0         |0         |0         |0         |22.5      |0         |0         
        88,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |12        |228       |0         |0         |0         |0         |25.0      |0         |0         
        89,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |6         |228       |0         |0         |0         |0         |27.5      |0         |0         
        90,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |0         |228       |0         |0         |0         |0         |30.0      |0         |0         
        91,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |78        |222       |0         |0         |0         |0         |0         |0         |0         
        92,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |72        |222       |0         |0         |0         |0         |2.5       |0         |0         
        93,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |66        |222       |0         |0         |0         |0         |5.0       |0         |0         
        94,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |60        |222       |0         |0         |0         |0         |7.5       |0         |0         
        95,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |54        |222       |0         |0         |0         |0         |10.0      |0         |0         
        96,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |48        |222       |0         |0         |0         |0         |12.5      |0         |0         
        97,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |42        |222       |0         |0         |0         |0         |15.0      |0         |0         
        98,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |36        |222       |0         |0         |0         |0         |17.5      |0         |0         
        99,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |30        |222       |0         |0         |0         |0         |20.0      |0         |0         
       100,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |24        |222       |0         |0         |0         |0         |22.5      |0         |0         
       101,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |18        |222       |0         |0         |0         |0         |25.0      |0         |0         
       102,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |12        |222       |0         |0         |0         |0         |27.5      |0         |0         
       103,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |6         |222       |0         |0         |0         |0         |30.0      |0         |0         
       104,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |0         |222       |0         |0         |0         |0         |32.5      |0         |0         
       105,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |84        |216       |0         |0         |0         |0         |0         |0         |0         
       106,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |78        |216       |0         |0         |0         |0         |2.5       |0         |0         
       107,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |72        |216       |0         |0         |0         |0         |5.0       |0         |0         
       108,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |66        |216       |0         |0         |0         |0         |7.5       |0         |0         
       109,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |60        |216       |0         |0         |0         |0         |10.0      |0         |0         
       110,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |54        |216       |0         |0         |0         |0         |12.5      |0         |0         
       111,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |48        |216       |0         |0         |0         |0         |15.0      |0         |0         
       112,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |42        |216       |0         |0         |0         |0         |17.5      |0         |0         
       113,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |36        |216       |0         |0         |0         |0         |20.0      |0         |0         
       114,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |30        |216       |0         |0         |0         |0         |22.5      |0         |0         
       115,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |24        |216       |0         |0         |0         |0         |25.0      |0         |0         
       116,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |18        |216       |0         |0         |0         |0         |27.5      |0         |0         
       117,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |12        |216       |0         |0         |0         |0         |30.0      |0         |0         
       118,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |6         |216       |0         |0         |0         |0         |32.5      |0         |0         
       119,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |0         |216       |0         |0         |0         |0         |35.0      |0         |0         
       120,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |90        |210       |0         |0         |0         |0         |0         |0         |0         
       121,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |84        |210       |0         |0         |0         |0         |2.5       |0         |0         
       122,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |78        |210       |0         |0         |0         |0         |5.0       |0         |0         
       123,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |72        |210       |0         |0         |0         |0         |7.5       |0         |0         
       124,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |66        |210       |0         |0         |0         |0         |10.0      |0         |0         
       125,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |60        |210       |0         |0         |0         |0         |12.5      |0         |0         
       126,          0|TOTAL                     |          |0         |0         |0         |0         |0         |0         |0         |54        |210       |0         |0         |0         |0         |15.0      |0         |0         
